Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2016-05-23,2048.04,1.4457433290978399,17492.9297,1.402292865869503
2016-05-24,2076.0601,1.465523154030778,17706.0508,1.4193773796257243
2016-05-25,2090.54,1.475744740928985,17851.5098,1.4310378688333445
2016-05-26,2090.1001,1.4754342086686434,17828.2891,1.4291764183782791
2016-05-27,2099.0601,1.4817592121982213,17873.2207,1.4327782885745621
2016-05-31,2096.95,1.480269659748694,17787.1992,1.4258825119476544
2016-06-01,2099.3301,1.4819498094027956,17789.6699,1.4260805716805365
2016-06-02,2105.26,1.4861358181561488,17838.5605,1.4299998088102712
2016-06-03,2099.1299,1.4818084851051814,17807.0605,1.4274746614488838
2016-06-06,2109.4099,1.489065297190456,17920.3301,1.4365547386414361
2016-06-07,2112.1299,1.4909853875476493,17938.2793,1.4379936076896587
2016-06-08,2119.1201,1.4959198785825216,18005.0508,1.4433462387068297
2016-06-09,2115.48,1.4933502753070733,17985.1895,1.4417540892056002
2016-06-10,2096.0701,1.4796485246364535,17865.3398,1.4321465287701063
2016-06-13,2079.0601,1.4676409007482707,17732.4805,1.4214960744580183
2016-06-14,2075.3201,1.4650007765071298,17674.8203,1.4168738363028732
2016-06-15,2071.5,1.4623041084286321,17640.1699,1.4140961421399838
2016-06-16,2077.99,1.4668855004941408,17733.0996,1.4215457036240955
2016-06-17,2071.22,1.4621064520683327,17675.1602,1.4169010838453535
2016-06-20,2083.25,1.470598616405478,17804.8691,1.4272989913559395
2016-06-21,2088.8999,1.4745869687985318,17829.7305,1.4292919659149999
2016-06-22,2085.45,1.4721516306649725,17780.8301,1.4253719431838636
2016-06-23,2113.3201,1.4918255682620358,18011.0703,1.4438287823430793
2016-06-24,2037.41,1.4382394465621913,17400.75,1.3949034269416147
2016-06-27,2000.54,1.4122123394042074,17140.2402,1.3740200734785817
2016-06-28,2036.09,1.4373076380064944,17409.7207,1.395622548828434
2016-06-29,2070.77,1.4617887900607087,17694.6797,1.4184658334936266
2016-06-30,2098.8601,1.4816180290837215,17929.9902,1.4373291251819358
2016-07-01,2102.95,1.4845051531836793,17949.3691,1.4388826038550022
2016-07-05,2088.55,1.474339968939715,17840.6191,1.4301648332025934
2016-07-06,2099.73,1.4822321050402374,17918.6191,1.4364175790498384
2016-07-07,2097.8999,1.4809402089510095,17895.8809,1.4345948074392765
2016-07-08,2129.8999,1.5035295072709305,18146.7402,1.4547045439305297
2016-07-11,2137.1599,1.5086544543272626,18226.9297,1.4611328075602432
2016-07-12,2152.1399,1.5192290696032755,18347.6699,1.4708117535108267
2016-07-13,2152.4299,1.5194337851192998,18372.1191,1.4727716847129864
2016-07-14,2163.75,1.527424819991529,18506.4102,1.4835369169930752
2016-07-15,2161.74,1.5260059296908088,18516.5508,1.4843498220512623
2016-07-18,2166.8899,1.5296413242976141,18533.0508,1.4856725182881794
2016-07-19,2163.78,1.5274459974587042,18559.0098,1.4877534802041874
2016-07-20,2173.02,1.5339686573485811,18595.0293,1.4906409260893774
2016-07-21,2165.1699,1.5284271495129182,18517.2305,1.4844043091198824
2016-07-22,2175.03,1.5353875476493013,18570.8496,1.4887025989257543
2016-07-25,2168.48,1.5307638006494424,18493.0605,1.4824667595413192
2016-07-26,2169.1799,1.5312578709586335,18473.75,1.4809187640453807
2016-07-27,2166.5801,1.5294226316532544,18472.1699,1.480792097843929
2016-07-28,2170.0601,1.5318792178455458,18456.3496,1.4795238886756321
2016-07-29,2173.6001,1.5343781589721872,18432.2402,1.4775911969996118
2016-08-01,2170.8401,1.5324298319920937,18404.5098,1.4753682336221448
2016-08-02,2157.03,1.5226810673443458,18313.7695,1.4680941819041606
2016-08-03,2163.79,1.527453056614429,18355.0,1.4713993593099919
2016-08-04,2164.25,1.527777777777778,18352.0508,1.4711629413862395
2016-08-05,2182.8701,1.540921996329239,18543.5293,1.4865125105620298
